Serial No.,GRE Score,TOEFL Score,CGPA,Label
1,337,118,9.65,1
2,324,107,8.87,1
3,316,104,8,-1
4,322,110,8.67,1
5,314,103,8.21,-1
6,330,115,9.34,1
7,321,109,8.2,1
8,308,101,7.9,-1
9,302,102,8,-1
10,323,108,8.6,-1
11,325,106,8.4,-1
12,327,111,9,1
13,328,112,9.1,1
14,307,109,8,-1
15,311,104,8.2,-1
16,314,105,8.3,-1
17,317,107,8.7,-1
18,319,106,8,-1
19,318,110,8.8,-1
20,303,102,8.5,-1
21,312,107,7.9,-1
22,325,114,8.4,-1
23,328,116,9.5,1
24,334,119,9.7,1
25,336,119,9.8,1
26,340,120,9.6,1
27,322,109,8.8,1
28,298,98,7.5,-1
29,295,93,7.2,-1
30,310,99,7.3,-1
31,300,97,8.1,-1
32,327,103,8.3,-1
33,338,118,9.4,1
34,340,114,9.6,1
35,331,112,9.8,1
36,320,110,9.2,1
37,299,106,8.4,-1
38,300,105,7.8,-1
39,304,105,7.5,-1
40,307,108,7.7,-1
41,308,110,8,-1
42,316,105,8.2,-1
43,313,107,8.5,-1
44,332,117,9.1,1
45,326,113,9.4,1
46,322,110,9.1,1
47,329,114,9.3,1
48,339,119,9.7,1
49,321,110,8.85,1
50,327,111,8.4,1
51,313,98,8.3,1
52,312,100,7.9,-1
53,334,116,8,1
54,324,112,8.1,-1
55,322,110,8,-1
56,320,103,7.7,-1
57,316,102,7.4,-1
58,298,99,7.6,-1
59,300,99,6.8,-1
60,311,104,8.3,-1
61,309,100,8.1,-1
62,307,101,8.2,-1
63,304,105,8.2,-1
64,315,107,8.5,-1
65,325,111,8.7,-1
66,325,112,8.92,-1
67,327,114,9.02,-1
68,316,107,8.64,-1
69,318,109,9.22,-1
70,328,115,9.16,1
71,332,118,9.64,1
72,336,112,9.76,1
73,321,111,9.45,1
74,314,108,9.04,1
75,314,106,8.9,-1
76,329,114,8.56,-1
77,327,112,8.72,-1
78,301,99,8.22,-1
79,296,95,7.54,-1
80,294,93,7.36,-1
81,312,105,8.02,-1
82,340,120,9.5,1
83,320,110,9.22,1
84,322,115,9.36,1
85,340,115,9.45,1
86,319,103,8.66,1
87,315,106,8.42,-1
88,317,107,8.28,-1
89,314,108,8.14,-1
90,316,109,8.76,-1
91,318,106,7.92,-1
92,299,97,7.66,-1
93,298,98,8.03,-1
94,301,97,7.88,-1
95,303,99,7.66,-1
96,304,100,7.84,-1
97,306,100,8,-1
98,331,120,8.96,1
99,332,119,9.24,1
100,323,113,8.88,1
101,322,107,8.46,-1
102,312,105,8.12,-1
103,314,106,8.25,-1
104,317,104,8.47,-1
105,326,112,9.05,-1
106,316,110,8.78,-1
107,329,111,9.18,1
108,338,117,9.46,1
109,331,116,9.38,1
110,304,103,8.64,-1
111,305,108,8.48,-1
112,321,109,8.68,-1
113,301,107,8.34,-1
114,320,110,8.56,-1
115,311,105,8.45,-1
116,310,106,9.04,-1
117,299,102,8.62,-1
118,290,104,7.46,-1
119,296,99,7.28,-1
120,327,104,8.84,-1
121,335,117,9.56,1
122,334,119,9.48,1
123,310,106,8.36,-1
124,308,108,8.22,-1
125,301,106,8.47,-1
126,300,100,8.66,-1
127,323,113,9.32,1
128,319,112,8.71,1
129,326,112,9.1,1
130,333,118,9.35,1
131,339,114,9.76,1
132,303,105,8.65,1
133,309,105,8.56,-1
134,323,112,8.78,1
135,333,113,9.28,1
136,314,109,8.77,1
137,312,103,8.45,1
138,316,100,8.16,-1
139,326,116,9.08,1
140,318,109,9.12,1
141,329,110,9.15,1
142,332,118,9.36,1
143,331,115,9.44,1
144,340,120,9.92,1
145,325,112,8.96,1
146,320,113,8.64,1
147,315,105,8.48,1
148,326,114,9.11,1
149,339,116,9.8,1
150,311,106,8.26,1
151,334,114,9.43,1
152,332,116,9.28,1
153,321,112,9.06,1
154,324,105,8.75,1
155,326,108,8.89,1
156,312,109,8.69,1
157,315,105,8.34,-1
158,309,104,8.26,-1
159,306,106,8.14,-1
160,297,100,7.9,-1
161,315,103,7.86,-1
162,298,99,7.46,-1
163,318,109,8.5,-1
164,317,105,8.56,-1
165,329,111,9.01,1
166,322,110,8.97,1
167,302,102,8.33,-1
168,313,102,8.27,-1
169,293,97,7.8,-1
170,311,99,7.98,-1
171,312,101,8.04,-1
172,334,117,9.07,1
173,322,110,9.13,1
174,323,113,9.23,1
175,321,111,8.97,1
176,320,111,8.87,1
177,329,119,9.16,1
178,319,110,9.04,1
179,309,108,8.12,-1
180,307,102,8.27,-1
181,300,104,8.16,-1
182,305,107,8.42,-1
183,299,100,7.88,-1
184,314,110,8.8,1
185,316,106,8.32,-1
186,327,113,9.11,1
187,317,107,8.68,1
188,335,118,9.44,1
189,331,115,9.36,1
190,324,112,9.08,1
191,324,111,9.16,1
192,323,110,8.98,1
193,322,114,8.94,1
194,336,118,9.53,1
195,316,109,8.76,1
196,307,107,8.52,1
197,306,105,8.26,-1
198,310,106,8.33,-1
199,311,104,8.43,-1
200,313,107,8.69,-1
201,317,103,8.54,-1
202,315,110,8.46,-1
203,340,120,9.91,1
204,334,120,9.87,1
205,298,105,8.54,-1
206,295,99,7.65,-1
207,315,99,7.89,-1
208,310,102,8.02,-1
209,305,106,8.16,-1
210,301,104,8.12,-1
211,325,108,9.06,1
212,328,110,9.14,1
213,338,120,9.66,1
214,333,119,9.78,1
215,331,117,9.42,1
216,330,116,9.36,1
217,322,112,9.26,1
218,321,109,9.13,1
219,324,110,8.97,1
220,312,104,8.42,-1
221,313,103,8.75,1
222,316,110,8.56,1
223,324,113,8.79,1
224,308,109,8.45,-1
225,305,105,8.23,-1
226,296,99,8.03,-1
227,306,110,8.45,-1
228,312,110,8.53,-1
229,318,112,8.67,-1
230,324,111,9.01,1
231,313,104,8.65,-1
232,319,106,8.33,-1
233,312,107,8.27,-1
234,304,100,8.07,-1
235,330,113,9.31,1
236,326,111,9.23,1
237,325,112,9.17,1
238,329,114,9.19,1
239,310,104,8.37,-1
240,299,100,7.89,-1
241,296,101,7.68,-1
242,317,103,8.15,-1
243,324,115,8.76,-1
244,325,114,9.04,1
245,314,107,8.56,-1
246,328,110,9.02,1
247,316,105,8.73,-1
248,311,104,8.48,-1
249,324,110,8.87,1
250,321,111,8.83,1
251,320,104,8.57,-1
252,316,99,9,-1
253,318,100,8.54,-1
254,335,115,9.68,1
255,321,114,9.12,1
256,307,110,8.37,1
257,309,99,8.56,1
258,324,100,8.64,1
259,326,102,8.76,1
260,331,119,9.34,1
261,327,108,9.13,1
262,312,104,8.09,-1
263,308,103,8.36,-1
264,324,111,8.79,-1
265,325,110,8.76,1
266,313,102,8.68,-1
267,312,105,8.45,-1
268,314,107,8.17,-1
269,327,113,9.14,1
270,308,108,8.34,1
271,306,105,8.22,-1
272,299,96,7.86,-1
273,294,95,7.64,-1
274,312,99,8.01,-1
275,315,100,7.95,-1
276,322,110,8.96,1
277,329,113,9.45,1
278,320,101,8.62,-1
279,308,103,8.49,-1
280,304,102,8.73,-1
281,311,102,8.64,-1
282,317,110,9.11,1
283,312,106,8.79,1
284,321,111,8.9,1
285,340,112,9.66,1
286,331,116,9.26,1
287,336,118,9.19,1
288,324,114,9.08,1
289,314,104,9.02,1
290,313,109,9,1
291,307,105,7.65,-1
292,300,102,7.87,-1
293,302,99,7.97,-1
294,312,98,8.18,-1
295,316,101,8.32,-1
296,317,100,8.57,-1
297,310,107,8.67,1
298,320,120,9.11,1
299,330,114,9.24,1
300,305,112,8.65,-1
301,309,106,8,-1
302,319,108,8.76,-1
303,322,105,8.45,-1
304,323,107,8.55,-1
305,313,106,8.43,-1
306,321,109,8.8,-1
307,323,110,9.1,1
308,325,112,9,1
309,312,108,8.53,-1
310,308,110,8.6,-1
311,320,104,8.74,1
312,328,108,9.18,1
313,311,107,9,1
314,301,100,8.04,-1
315,305,105,8.13,-1
316,308,104,8.07,-1
317,298,101,7.86,-1
318,300,99,8.01,-1
319,324,111,8.8,1
320,327,113,8.69,1
321,317,106,8.5,1
322,323,104,8.44,-1
323,314,107,8.27,-1
324,305,102,8.18,-1
325,315,104,8.33,-1
326,326,116,9.14,1
327,299,100,8.02,-1
328,295,101,7.86,-1
329,324,112,8.77,1
330,297,96,7.89,-1
331,327,113,8.66,1
332,311,105,8.12,-1
333,308,106,8.21,1
334,319,108,8.54,-1
335,312,107,8.65,-1
336,325,111,9.11,1
337,319,110,8.79,-1
338,332,118,9.47,1
339,323,108,8.74,1
340,324,107,8.66,1
341,312,107,8.46,1
342,326,110,8.76,1
343,308,106,8.24,-1
344,305,103,8.13,-1
345,295,96,7.34,-1
346,316,98,7.43,-1
347,304,97,7.64,-1
348,299,94,7.34,-1
349,302,99,7.25,-1
350,313,101,8.04,-1
351,318,107,8.27,-1
352,325,110,8.67,-1
353,303,100,8.06,-1
354,300,102,8.17,-1
355,297,98,7.67,-1
356,317,106,8.12,-1
357,327,109,8.77,1
358,301,104,7.89,-1
359,314,105,7.64,-1
360,321,107,8.44,1
361,322,110,8.64,1
362,334,116,9.54,1
363,338,115,9.23,1
364,306,103,8.36,-1
365,313,102,8.9,1
366,330,114,9.17,1
367,320,104,8.34,-1
368,311,98,7.46,-1
369,298,92,7.88,-1
370,301,98,8.03,-1
371,310,103,8.24,-1
372,324,110,9.22,1
373,336,119,9.62,1
374,321,109,8.54,1
375,315,105,7.65,-1
376,304,101,7.66,-1
377,297,96,7.43,-1
378,290,100,7.56,-1
379,303,98,7.65,-1
380,311,99,8.43,-1
381,322,104,8.84,1
382,319,105,8.67,-1
383,324,110,9.15,1
384,300,100,8.26,-1
385,340,113,9.74,1
386,335,117,9.82,1
387,302,101,7.96,-1
388,307,105,8.1,-1
389,296,97,7.8,-1
390,320,108,8.44,1
391,314,102,8.24,-1
392,318,106,8.65,-1
393,326,112,9.12,1
394,317,104,8.76,1
395,329,111,9.23,1
396,324,110,9.04,1
397,325,107,9.11,1
398,330,116,9.45,1
399,312,103,8.78,-1
400,333,117,9.66,1
